,GameID,Date,Year,Home,Away,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Home_PTS,Away_FG,Away_FGA,Away_FG%,Away_3P,Away_3PA,Away_3P%,Away_FT,Away_FTA,Away_FT%,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Away_PTS,W_L,PT_Diff
0,CLEHOU1997-06-21,1997-06-21,1997,CLE,HOU,23,60,0.38333333333333336,2,7,0.2857142857142857,8,14,0.5714285714285714,13.0,12.0,25,13.0,8,7.0,25.0,20.0,56,30,54,0.5555555555555556,3,11,0.2727272727272727,13,15,0.8666666666666667,6.0,21.0,27,14.0,14,6.0,22.0,20.0,76,L,-20
1,LASNYL1997-06-21,1997-06-21,1997,LAS,NYL,21,68,0.3088235294117647,1,11,0.09090909090909091,14,19,0.7368421052631579,14.0,25.0,39,15.0,9,3.0,25.0,22.0,57,26,60,0.43333333333333335,2,6,0.3333333333333333,13,25,0.52,10.0,26.0,36,21.0,14,5.0,19.0,24.0,67,L,-10
2,UTASAC1997-06-21,1997-06-21,1997,UTA,SAC,22,66,0.3333333333333333,2,12,0.16666666666666666,14,21,0.6666666666666666,16.0,19.0,35,11.0,7,5.0,21.0,27.0,60,23,63,0.36507936507936506,3,11,0.2727272727272727,21,30,0.7,19.0,21.0,40,10.0,12,3.0,23.0,27.0,70,L,-10
3,PHOCHA1997-06-22,1997-06-22,1997,PHO,CHA,28,67,0.417910447761194,8,19,0.42105263157894735,12,19,0.631578947368421,10.0,33.0,43,23.0,10,3.0,20.0,16.0,76,21,65,0.3230769230769231,4,14,0.2857142857142857,13,15,0.8666666666666667,9.0,23.0,32,14.0,12,1.0,23.0,19.0,59,W,17
4,SACNYL1997-06-23,1997-06-23,1997,SAC,NYL,21,61,0.3442622950819672,6,16,0.375,14,18,0.7777777777777778,13.0,18.0,31,11.0,13,2.0,25.0,21.0,62,27,56,0.48214285714285715,6,11,0.5454545454545454,13,19,0.6842105263157895,9.0,20.0,29,17.0,14,6.0,24.0,15.0,73,L,-11
5,UTALAS1997-06-23,1997-06-23,1997,UTA,LAS,28,68,0.4117647058823529,4,12,0.3333333333333333,42,56,0.75,9.0,29.0,38,20.0,8,7.0,8.0,24.0,102,33,70,0.4714285714285714,5,16,0.3125,18,24,0.75,7.0,31.0,38,19.0,2,2.0,20.0,36.0,89,W,13
6,HOUPHO1997-06-24,1997-06-24,1997,HOU,PHO,22,56,0.39285714285714285,2,9,0.2222222222222222,24,28,0.8571428571428571,13.0,26.0,39,10.0,10,5.0,20.0,27.0,70,19,53,0.3584905660377358,1,10,0.1,16,26,0.6153846153846154,8.0,15.0,23,12.0,11,2.0,19.0,26.0,55,W,15
7,LASCHA1997-06-25,1997-06-25,1997,LAS,CHA,29,62,0.46774193548387094,2,4,0.5,14,27,0.5185185185185185,7.0,27.0,34,20.0,16,3.0,14.0,12.0,74,22,64,0.34375,4,15,0.26666666666666666,6,7,0.8571428571428571,13.0,22.0,35,10.0,6,3.0,21.0,22.0,54,W,20
8,CLEUTA1997-06-26,1997-06-26,1997,CLE,UTA,25,60,0.4166666666666667,2,7,0.2857142857142857,22,30,0.7333333333333333,11.0,30.0,41,18.0,10,4.0,19.0,11.0,74,27,66,0.4090909090909091,3,9,0.3333333333333333,6,10,0.6,7.0,25.0,32,18.0,13,5.0,18.0,22.0,63,W,11
9,HOUNYL1997-06-26,1997-06-26,1997,HOU,NYL,22,60,0.36666666666666664,5,14,0.35714285714285715,11,17,0.6470588235294118,12.0,21.0,33,12.0,15,2.0,28.0,19.0,60,23,58,0.39655172413793105,3,14,0.21428571428571427,13,21,0.6190476190476191,11.0,21.0,32,15.0,10,4.0,28.0,22.0,62,L,-2
